username,user_id
August,194331558
mL7support,51929371
pge4,86224100
Rakattack,124994203
6Cyx,170760368
chosen_ow,162257460
hadi_ow,121202124
kraandop,183796200
vulture_ow,245488727
durpee82,208808396
Apply,138498363
PLAYTO_ow,1121962475
LhCloudy27,150814235
ZBRA,146593616
Josh369,1134508037
cartifan22_,942331691
Yeatle,182506427
hiimsky,172390266
chazm,465140085
pirate_ow_,864378313
harbleu,4329841
Danteh,52914282
sugarfree,1106657346
cuFFa,168236235
WMaimone,182457748
xomba_ow,505392828
astdesign,135870177
romani_ow,635116378
Gurkmeister,517528681
scyle2,168221464
Bowie,76565182
NenWhy,432371144
kronikfps,168618442
